"package","version","source"
"blueterra","0.2.0","local evaluated checkout"
"terra","1.9.27","installed library"
"sf","1.1.0","installed library"
"exactextractr","0.10.1","installed library"
"ggplot2","4.0.2","installed library"
"dplyr","1.2.0","installed library"
"tibble","3.3.1","installed library"
"testthat","3.3.2","installed library"
"pkgload","1.5.2","installed library"
"devtools","2.5.2","installed library"
"ragg","1.5.1","installed library"
"jsonlite","2.0.0","installed library"
"digest","0.6.39","installed library"
"renv","1.2.3","installed library"
