"test_id","metric_family","reference_behavior","evaluated_domain","edge_policy","observed","expected","max_abs_error","tolerance","pass","note"
"annular_bpi_non_square_kernel","BPI","independent x/y map-unit offsets","5 by 7 cells at 2 by 4 m","annulus includes cells on both radius boundaries","7","7",0,0,TRUE,"Kernel has 3 rows by 5 columns; the focal cell is included."
"annular_bpi_requires_projected_crs","BPI","map-unit radii require projected CRS","longitude-latitude synthetic grid","not applicable","TRUE","TRUE",NA,0,TRUE,"The error prevents interpreting angular degrees as map-unit radii."
"normalized_bpi_zero_variance","BPI","undefined normalization recorded as missing","constant 7 by 7 raster","partial windows allowed; all local SD values are zero","TRUE","TRUE",NA,0,TRUE,"No NaN values are emitted."
"bpi_partial_focal_support","BPI","available in-bounds neighbourhood cells are used","upper-left raster corner","BPI focal mean uses partial support","TRUE","TRUE",NA,0,TRUE,""
"vrm_partial_focal_support","VRM-style rugosity","available normal-vector cells are used","second row, second column adjacent to derivative boundary","outer slope/aspect row is missing","TRUE","TRUE",NA,0,TRUE,"The outermost raster cells remain missing because terrain derivatives need neighbours."
"planar_transect_orientation","transects","south-facing plane yields north-south transects","100 by 100 m square","interior terrain cells","90","90",0,1e-06,TRUE,""
"planar_orientation_resultant","transects","aligned aspects have unit circular resultant","100 by 100 m square","interior terrain cells","1","1",0,1e-06,TRUE,""
"transect_line_count","transects","regular offsets intersect a 100 m square four times","100 by 100 m square; 25 m spacing","candidate lines clipped to polygon","4","4",0,0,TRUE,""
"transect_offset_spacing","transects","adjacent generated offsets differ by 25 m","manual horizontal lines","candidate lines clipped to polygon","25","25",0,1e-09,TRUE,""
"transect_clipping","transects","all output vertices lie within source rectangle","manual horizontal lines","intersected with source polygon","TRUE","TRUE",NA,0,TRUE,""
"weak_aspect_resultant","transects","opposing aspect modes produce low concentration","40 by 40 m two-mode synthetic surface","interior finite aspect cells","0.216969142343643","0.45",0.233030857656357,0,TRUE,"The numeric expected value is an upper reliability threshold, not an equality target."
"ramp_isobath_location","isobath corridors","z = -x crosses -50 at x = 50 m","100 m-wide projected ramp","contour interior","50","50",0,1e-06,TRUE,""
"corridor_nominal_width","isobath corridors","one-sided 10 m buffer has nominal 20 m full width","single ramp contour","buffer includes both sides","20","20",0,0,TRUE,""
"corridor_geometry_width","isobath corridors","buffer spans x = 40 to 60 m","single ramp contour","round endcaps do not change x extent","20","20",0,1e-06,TRUE,""
"corridor_overlap_policy","isobath corridors","nearby independent buffers can overlap","two contours 5 m apart with 10 m one-sided buffers","independent polygons retained","TRUE","TRUE",NA,0,TRUE,"Corridor summaries are not mutually exclusive or additive when overlap occurs."
"polygon_summary_known_values","spatial summaries","whole-raster mean of 1, 2, 3, 4","attribute-less polygon covering all cells","cell-centre extraction","2.5","2.5",0,1e-12,TRUE,""
"polygon_summary_zone_id","spatial summaries","attribute-less geometry receives stable zone id","one polygon","not applicable","1","1",0,0,TRUE,""
"depth_band_order_and_counts","spatial summaries","left-closed ordered bands each contain two cells","values -4 through -1","uppermost interval includes final break","2,2","2,2",NA,0,TRUE,"Bands: [-4,-2); [-2,0]"
"exact_intersection_weighted_mean","spatial summaries","coverage fractions 1 and 0.5 weight values 0 and 10","two cells intersected by one 1.5-cell-wide polygon","positive-coverage cell fractions","3.33333333333333","3.33333333333333",0,1e-08,TRUE,"Exact sum is 5 and effective cell count is 1.5."
"custom_layer_geometry_rejection","custom layers","misaligned raster cannot join metric stack","20 by 20 m source and factor-two aggregate","geometry check before merge","TRUE","TRUE",NA,0,TRUE,""
"metric_catalog_unmatched_layer","metric catalog","unmatched name is labeled unassigned and not matched","one known and one unknown metric name","not applicable","unassigned","unassigned",NA,0,TRUE,""
