"comparison_scope","key","run_01_value","run_02_value","identical_value"
"platform","exactextractr_version","0.10.1","0.10.1",TRUE
"platform","input_data_root","/Users/ec/Documents/Data/MCE Geomorphometry HW v HY/Geomorphic_Analysis_Project/blueterra/article/data_provenance/results","/Users/ec/Documents/Data/MCE Geomorphometry HW v HY/Geomorphic_Analysis_Project/blueterra/article/data_provenance/results",TRUE
"platform","machine","arm64","arm64",TRUE
"platform","os_name","unix","unix",TRUE
"platform","package_library","/private/tmp/blueterra-clean-repro-6a5e44ca3572/R-library","/private/tmp/blueterra-clean-repro-6a5e44ca3572/R-library",TRUE
"platform","package_path","/private/tmp/blueterra-clean-repro-6a5e44ca3572/R-library/blueterra","/private/tmp/blueterra-clean-repro-6a5e44ca3572/R-library/blueterra",TRUE
"platform","package_version","0.2.0","0.2.0",TRUE
"platform","r_libs_user","/private/tmp/blueterra-clean-repro-6a5e44ca3572/R-library","/private/tmp/blueterra-clean-repro-6a5e44ca3572/R-library",TRUE
"platform","r_platform","aarch64-apple-darwin20","aarch64-apple-darwin20",TRUE
"platform","r_version","R version 4.5.3 (2026-03-11)","R version 4.5.3 (2026-03-11)",TRUE
"platform","release","25.2.0","25.2.0",TRUE
"platform","release_tag","v0.2.0","v0.2.0",TRUE
"platform","sysname","Darwin","Darwin",TRUE
"platform","terra_version","1.9.27","1.9.27",TRUE
"platform","timezone","America/Puerto_Rico","America/Puerto_Rico",TRUE
