"object","object_class","rows","columns","layers","field_names","field_types","geometry_type","crs_text","crs_sha256","extent","resolution","value_min","value_max"
"prepared_elevation","SpatRaster",751,1001,1,"elevation_m","numeric","","COMPOUNDCRS[""NAD83(2011) / UTM zone 19N + MSL height"",     PROJCRS[""NAD83(2011) / UTM zone 19N"",         BASEGEOGCRS[""NAD83(2011)"",             DATUM[""NAD83 (National Spatial Reference System 2011)"",                 ELLIPSOID[""GRS 1980"",6378137,298.257222101,                     LENGTHUNIT[""metre"",1]]],             PRIMEM[""Greenwich"",0,                 ANGLEUNIT[""degree"",0.0174532925199433]],             ID[""EPSG"",6318]],         CONVERSION[""UTM zone 19N"",             METHOD[""Transverse Mercator"",                 ID[""EPSG"",9807]],             PARAMETER[""Latitude of natural origin"",0,                 ANGLEUNIT[""degree"",0.0174532925199433],                 ID[""EPSG"",8801]],             PARAMETER[""Longitude of natural origin"",-69,                 ANGLEUNIT[""degree"",0.0174532925199433],                 ID[""EPSG"",8802]],             PARAMETER[""Scale factor at natural origin"",0.9996,                 SCALEUNIT[""unity"",1],                 ID[""EPSG"",8805]],             PARAMETER[""False easting"",500000,                 LENGTHUNIT[""metre"",1],                 ID[""EPSG"",8806]],             PARAMETER[""False northing"",0,                 LENGTHUNIT[""metre"",1],                 ID[""EPSG"",8807]]],         CS[Cartesian,2],             AXIS[""(E)"",east,                 ORDER[1],                 LENGTHUNIT[""metre"",1]],             AXIS[""(N)"",north,                 ORDER[2],                 LENGTHUNIT[""metre"",1]],         USAGE[             SCOPE[""Engineering survey, topographic mapping.""],             AREA[""United States (USA) - between 72°W and 66°W onshore and offshore - Connecticut; Maine; Massachusetts; New Hampshire; New York (Long Island); Rhode Island; Vermont.""],             BBOX[33.61,-72,47.47,-65.99]],         ID[""EPSG"",6348]],     VERTCRS[""MSL height"",         VDATUM[""Mean Sea Level""],         CS[vertical,1],             AXIS[""gravity-related height (H)"",up,                 LENGTHUNIT[""metre"",1]],         USAGE[             SCOPE[""Hydrography, drilling.""],             AREA[""World.""],             BBOX[-90,-180,90,180]],         ID[""EPSG"",5714]]]","cb3674a264179698723a5408dd3ed091a0f8da3b7505897a5a8b6b889341b7c7","707998;712002;1976498;1979502","4;4","-799.760009765625","-12.34000015258789"
"metric_stack","SpatRaster",751,1001,6,"slope_deg;bpi_3x3;bpi_11x11;rugosity_vrm_3x3;curvature;surface_area_ratio","numeric;numeric;numeric;numeric;numeric;numeric","","COMPOUNDCRS[""NAD83(2011) / UTM zone 19N + MSL height"",     PROJCRS[""NAD83(2011) / UTM zone 19N"",         BASEGEOGCRS[""NAD83(2011)"",             DATUM[""NAD83 (National Spatial Reference System 2011)"",                 ELLIPSOID[""GRS 1980"",6378137,298.257222101,                     LENGTHUNIT[""metre"",1]]],             PRIMEM[""Greenwich"",0,                 ANGLEUNIT[""degree"",0.0174532925199433]],             ID[""EPSG"",6318]],         CONVERSION[""UTM zone 19N"",             METHOD[""Transverse Mercator"",                 ID[""EPSG"",9807]],             PARAMETER[""Latitude of natural origin"",0,                 ANGLEUNIT[""degree"",0.0174532925199433],                 ID[""EPSG"",8801]],             PARAMETER[""Longitude of natural origin"",-69,                 ANGLEUNIT[""degree"",0.0174532925199433],                 ID[""EPSG"",8802]],             PARAMETER[""Scale factor at natural origin"",0.9996,                 SCALEUNIT[""unity"",1],                 ID[""EPSG"",8805]],             PARAMETER[""False easting"",500000,                 LENGTHUNIT[""metre"",1],                 ID[""EPSG"",8806]],             PARAMETER[""False northing"",0,                 LENGTHUNIT[""metre"",1],                 ID[""EPSG"",8807]]],         CS[Cartesian,2],             AXIS[""(E)"",east,                 ORDER[1],                 LENGTHUNIT[""metre"",1]],             AXIS[""(N)"",north,                 ORDER[2],                 LENGTHUNIT[""metre"",1]],         USAGE[             SCOPE[""Engineering survey, topographic mapping.""],             AREA[""United States (USA) - between 72°W and 66°W onshore and offshore - Connecticut; Maine; Massachusetts; New Hampshire; New York (Long Island); Rhode Island; Vermont.""],             BBOX[33.61,-72,47.47,-65.99]],         ID[""EPSG"",6348]],     VERTCRS[""MSL height"",         VDATUM[""Mean Sea Level""],         CS[vertical,1],             AXIS[""gravity-related height (H)"",up,                 LENGTHUNIT[""metre"",1]],         USAGE[             SCOPE[""Hydrography, drilling.""],             AREA[""World.""],             BBOX[-90,-180,90,180]],         ID[""EPSG"",5714]]]","cb3674a264179698723a5408dd3ed091a0f8da3b7505897a5a8b6b889341b7c7","707998;712002;1976498;1979502","4;4","0.000000000000000000000;-35.911115858289917923685;-36.749089706042582292866;0.000001589578311866902;-200.010009765625000000000;1.000000000000000000000","84.8125723871821293;38.8911081949869697;55.7042452494303291;0.5734040323032259;172.5200195312500000;11.0602277283867210"
"terrain_summary_exact","data.frame",2,26,,"zone_id;polygon_provenance;slope_deg_mean;slope_deg_sd;slope_deg_median;slope_deg_count;bpi_3x3_mean;bpi_3x3_sd;bpi_3x3_median;bpi_3x3_count;bpi_11x11_mean;bpi_11x11_sd;bpi_11x11_median;bpi_11x11_count;rugosity_vrm_3x3_mean;rugosity_vrm_3x3_sd;rugosity_vrm_3x3_median;rugosity_vrm_3x3_count;curvature_mean;curvature_sd;curvature_median;curvature_count;surface_area_ratio_mean;surface_area_ratio_sd;surface_area_ratio_median;surface_area_ratio_count","integer;character;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric","","","","","","",""
"depth_band_summary","data.frame",24,6,,"depth_band;metric;n_cells;mean;median;count","character;character;integer;numeric;numeric;integer","","","","","","",""
"transects","SpatVector",15,10,,"zone_id;polygon_provenance;offset;angle_deg;angle_source;mean_aspect_deg;orientation_weight;n_orientation_cells;orientation_resultant_length;transect_id","character;character;numeric;numeric;character;numeric;character;integer;numeric;character","lines","COMPOUNDCRS[""NAD83(2011) / UTM zone 19N + MSL height"",     PROJCRS[""NAD83(2011) / UTM zone 19N"",         BASEGEOGCRS[""NAD83(2011)"",             DATUM[""NAD83 (National Spatial Reference System 2011)"",                 ELLIPSOID[""GRS 1980"",6378137,298.257222101,                     LENGTHUNIT[""metre"",1]]],             PRIMEM[""Greenwich"",0,                 ANGLEUNIT[""degree"",0.0174532925199433]],             ID[""EPSG"",6318]],         CONVERSION[""UTM zone 19N"",             METHOD[""Transverse Mercator"",                 ID[""EPSG"",9807]],             PARAMETER[""Latitude of natural origin"",0,                 ANGLEUNIT[""degree"",0.0174532925199433],                 ID[""EPSG"",8801]],             PARAMETER[""Longitude of natural origin"",-69,                 ANGLEUNIT[""degree"",0.0174532925199433],                 ID[""EPSG"",8802]],             PARAMETER[""Scale factor at natural origin"",0.9996,                 SCALEUNIT[""unity"",1],                 ID[""EPSG"",8805]],             PARAMETER[""False easting"",500000,                 LENGTHUNIT[""metre"",1],                 ID[""EPSG"",8806]],             PARAMETER[""False northing"",0,                 LENGTHUNIT[""metre"",1],                 ID[""EPSG"",8807]]],         CS[Cartesian,2],             AXIS[""easting"",east,                 ORDER[1],                 LENGTHUNIT[""metre"",1]],             AXIS[""northing"",north,                 ORDER[2],                 LENGTHUNIT[""metre"",1]],         ID[""EPSG"",6348]],     VERTCRS[""MSL height"",         VDATUM[""Mean Sea Level""],         CS[vertical,1],             AXIS[""gravity-related height"",up,                 LENGTHUNIT[""metre"",1]],         ID[""EPSG"",5714]]]","9d84e3a4f89a7b4e81226b234abcfca1c5accdc0ab2cc2b502f537d9c34599cd","710098;711498;1976898;1978098","","",""
"cross_sections","data.frame",300,15,,"zone_id;polygon_provenance;offset;angle_deg;angle_source;mean_aspect_deg;orientation_weight;n_orientation_cells;orientation_resultant_length;transect_id;distance;x;y;elevation_m;slope_deg","character;character;numeric;numeric;character;numeric;character;integer;numeric;character;numeric;numeric;numeric;numeric;numeric","","","","","","",""
"isobaths","SpatVector",3,3,,"level;contour_value;depth_label","numeric;numeric;numeric","lines","COMPOUNDCRS[""NAD83(2011) / UTM zone 19N + MSL height"",     PROJCRS[""NAD83(2011) / UTM zone 19N"",         BASEGEOGCRS[""NAD83(2011)"",             DATUM[""NAD83 (National Spatial Reference System 2011)"",                 ELLIPSOID[""GRS 1980"",6378137,298.257222101,                     LENGTHUNIT[""metre"",1]]],             PRIMEM[""Greenwich"",0,                 ANGLEUNIT[""degree"",0.0174532925199433]],             ID[""EPSG"",6318]],         CONVERSION[""UTM zone 19N"",             METHOD[""Transverse Mercator"",                 ID[""EPSG"",9807]],             PARAMETER[""Latitude of natural origin"",0,                 ANGLEUNIT[""degree"",0.0174532925199433],                 ID[""EPSG"",8801]],             PARAMETER[""Longitude of natural origin"",-69,                 ANGLEUNIT[""degree"",0.0174532925199433],                 ID[""EPSG"",8802]],             PARAMETER[""Scale factor at natural origin"",0.9996,                 SCALEUNIT[""unity"",1],                 ID[""EPSG"",8805]],             PARAMETER[""False easting"",500000,                 LENGTHUNIT[""metre"",1],                 ID[""EPSG"",8806]],             PARAMETER[""False northing"",0,                 LENGTHUNIT[""metre"",1],                 ID[""EPSG"",8807]]],         CS[Cartesian,2],             AXIS[""(E)"",east,                 ORDER[1],                 LENGTHUNIT[""metre"",1]],             AXIS[""(N)"",north,                 ORDER[2],                 LENGTHUNIT[""metre"",1]],         USAGE[             SCOPE[""Engineering survey, topographic mapping.""],             AREA[""United States (USA) - between 72°W and 66°W onshore and offshore - Connecticut; Maine; Massachusetts; New Hampshire; New York (Long Island); Rhode Island; Vermont.""],             BBOX[33.61,-72,47.47,-65.99]],         ID[""EPSG"",6348]],     VERTCRS[""MSL height"",         VDATUM[""Mean Sea Level""],         CS[vertical,1],             AXIS[""gravity-related height (H)"",up,                 LENGTHUNIT[""metre"",1]],         USAGE[             SCOPE[""Hydrography, drilling.""],             AREA[""World.""],             BBOX[-90,-180,90,180]],         ID[""EPSG"",5714]]]","cb3674a264179698723a5408dd3ed091a0f8da3b7505897a5a8b6b889341b7c7","708003.4699453552;711996.5300546448;1977180.5226222586;1978913.4373580406","","",""
"isobath_corridors","SpatVector",3,7,,"level;contour_value;depth_label;corridor_id;buffer_distance;nominal_corridor_width;overlap_policy","numeric;numeric;numeric;integer;numeric;numeric;character","polygons","COMPOUNDCRS[""NAD83(2011) / UTM zone 19N + MSL height"",     PROJCRS[""NAD83(2011) / UTM zone 19N"",         BASEGEOGCRS[""NAD83(2011)"",             DATUM[""NAD83 (National Spatial Reference System 2011)"",                 ELLIPSOID[""GRS 1980"",6378137,298.257222101,                     LENGTHUNIT[""metre"",1]]],             PRIMEM[""Greenwich"",0,                 ANGLEUNIT[""degree"",0.0174532925199433]],             ID[""EPSG"",6318]],         CONVERSION[""UTM zone 19N"",             METHOD[""Transverse Mercator"",                 ID[""EPSG"",9807]],             PARAMETER[""Latitude of natural origin"",0,                 ANGLEUNIT[""degree"",0.0174532925199433],                 ID[""EPSG"",8801]],             PARAMETER[""Longitude of natural origin"",-69,                 ANGLEUNIT[""degree"",0.0174532925199433],                 ID[""EPSG"",8802]],             PARAMETER[""Scale factor at natural origin"",0.9996,                 SCALEUNIT[""unity"",1],                 ID[""EPSG"",8805]],             PARAMETER[""False easting"",500000,                 LENGTHUNIT[""metre"",1],                 ID[""EPSG"",8806]],             PARAMETER[""False northing"",0,                 LENGTHUNIT[""metre"",1],                 ID[""EPSG"",8807]]],         CS[Cartesian,2],             AXIS[""(E)"",east,                 ORDER[1],                 LENGTHUNIT[""metre"",1]],             AXIS[""(N)"",north,                 ORDER[2],                 LENGTHUNIT[""metre"",1]],         USAGE[             SCOPE[""Engineering survey, topographic mapping.""],             AREA[""United States (USA) - between 72°W and 66°W onshore and offshore - Connecticut; Maine; Massachusetts; New Hampshire; New York (Long Island); Rhode Island; Vermont.""],             BBOX[33.61,-72,47.47,-65.99]],         ID[""EPSG"",6348]],     VERTCRS[""MSL height"",         VDATUM[""Mean Sea Level""],         CS[vertical,1],             AXIS[""gravity-related height (H)"",up,                 LENGTHUNIT[""metre"",1]],         USAGE[             SCOPE[""Hydrography, drilling.""],             AREA[""World.""],             BBOX[-90,-180,90,180]],         ID[""EPSG"",5714]]]","cb3674a264179698723a5408dd3ed091a0f8da3b7505897a5a8b6b889341b7c7","707983.4699608868;712016.5298330405;1977160.5226377901;1978933.4057623220","","",""
"corridor_summary_exact","data.frame",3,20,,"level;contour_value;depth_label;corridor_id;buffer_distance;nominal_corridor_width;overlap_policy;zone_id;slope_deg_mean;slope_deg_count;bpi_3x3_mean;bpi_3x3_count;bpi_11x11_mean;bpi_11x11_count;rugosity_vrm_3x3_mean;rugosity_vrm_3x3_count;curvature_mean;curvature_count;surface_area_ratio_mean;surface_area_ratio_count","numeric;numeric;numeric;integer;numeric;numeric;character;integer;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric","","","","","","",""
