"metric_family","reference_behavior_or_comparator","evaluated_domain","edge_policy","maximum_error","tolerance","result"
"Slope, aspect, and directional transforms","Analytical plane and direct terra calls","21 by 21 m projected plane","terra derivative outer ring missing","2.84e-14","2.43e-06","pass"
"Roughness, TRI, and TPI","Analytical constant/planar surfaces and direct terra calls","21 by 21 m synthetic rasters","terra terrain outer ring missing","0e+00","6.1e-07","pass"
"Square and annular BPI","Manual focal calculation and direct focal reconstruction","7 by 7 center-relief fixture","partial BPI windows at edges; missing center remains missing","0e+00","3.9e-07","pass"
"VRM-style rugosity","Constant/planar normals and transparent formula reconstruction","21 by 21 m synthetic surfaces","outer derivative ring missing; interior focal support can be partial","0e+00","1e-08","pass"
"Four-neighbor Laplacian-style index","Planar, convex, concave surfaces and focal-kernel reconstruction","21 by 21 m synthetic surfaces","outer focal ring missing","0e+00","4e-08","pass"
"Slope-derived surface-area ratio","Analytical plane and slope-secant reconstruction","21 by 21 m plane","inherits slope support","0e+00","2.45e-08","pass"
"BPI geometry, CRS, and normalization","Known non-square annulus, geographic CRS guard, zero-variance and partial-support conditions","2 by 4 m cells and 7 by 7 fixtures","documented partial support","behavioral check","stated condition","pass"
"Transects and orientation reliability","Known planar direction, clipped lines, spacing, and multimodal aspect resultant","40--100 m projected synthetic surfaces","clipped to source polygon","behavioral check","stated condition","pass"
"Isobaths and corridors","Synthetic ramp contour, buffer width, and independent-overlap behavior","100 m projected ramp","independent corridors may overlap","behavioral check","stated condition","pass"
"Spatial summaries and extension","Known cell values, fractional coverage, geometry rejection, and unmatched catalog name","1--2 cell and 20 by 20 m fixtures","documented exact coverage weighting","behavioral check","stated condition","pass"
